,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate,specificity,sensitivity,balanced_accuracy,matthews_corrcoef,cohen_kappa,roc_auc,pr_auc,rank_f1,rank_fpr,combined_rank_score
Neural Network,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Random Forest,0.9988888888888889,0.998046875,1.0,0.9990224828934506,0.002570694087403599,0.0,0.9974293059125964,1.0,0.9987146529562982,0.9977380426742712,0.9977354844553589,1.0,1.0,3.0,3.0,6.0
SVM,0.9988888888888889,0.998046875,1.0,0.9990224828934506,0.002570694087403599,0.0,0.9974293059125964,1.0,0.9987146529562982,0.9977380426742712,0.9977354844553589,1.0,1.0,3.0,3.0,6.0
Ensemble,0.9988888888888889,0.998046875,1.0,0.9990224828934506,0.002570694087403599,0.0,0.9974293059125964,1.0,0.9987146529562982,0.9977380426742712,0.9977354844553589,1.0,1.0,3.0,3.0,6.0
